Trained model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
553,87.28,86.19,86.86,86.61,86.44,86.91,87.22,85.91,86.93,86.07,87.05,90.51,86.95,85.6,85.88,85.58,87.51,86.57,86.79,87.53
11,87.05,83.33,84.81,85.59,89.67,84.99,86.28,84.69,86.36,84.67,86.66,85.3,83,82.36,86.09,85.17,86.94,85.84,85.16,84.83
0,87.77,87.26,87.21,87.55,87.96,87.77,87.67,86.27,87.26,87.33,90.74,87.18,87.08,87.65,87.28,87.52,87.74,87.48,87.74,87.6
172,85.96,86.23,87.15,87.01,87.67,90.89,87.27,86.29,87.19,87.26,87.87,86.51,86.28,86.23,86.14,85.65,86.75,86.67,86.93,86.59
17,87.18,85.59,86.72,86.41,86.69,86.52,87.18,90.13,86.7,87,86.91,86.4,86.29,86.47,86,86.04,86.42,86.43,86.45,87.21
513,86.84,90.93,87.36,86.46,85.59,85.97,86.66,86.25,86.76,86.42,87.45,86.47,87.26,86.71,85.77,84.5,87.12,86.96,85.95,87.47
974,86.59,86.56,86.61,85.81,87.15,85.67,87.55,86.01,86.26,87,87.09,85.87,86.74,86.15,90.37,86.49,86.89,86.05,86.84,86.75
113,87.04,86,87.85,86.47,86.77,87.03,87.74,86.67,87.5,87.24,87.61,86.75,87.32,87.01,86.7,85.05,87.51,86.56,90.95,86.57
578,86.52,84.37,87.41,85.56,85.62,86.38,86.18,86.19,86.94,86.4,87.15,86.18,86.86,86.7,86.87,90.98,86.16,84.31,84.55,86.06
666,86.75,85.11,87.35,87.54,90.93,87.09,87.81,86.58,87.54,86.32,87.78,86.41,87.05,86.95,87.35,85.1,87.56,87.38,86.48,87.3
179,87.49,87.32,87.51,88.11,87.6,87.22,87.66,86.89,87.29,86.96,87.16,87.06,87.03,87.47,87.23,85.92,87.35,87.14,86.7,90.51
323,86.52,86.68,87.73,87.56,87.07,86.82,87.43,86.56,86.65,86.87,87.8,85.81,86.4,86.8,86.32,84.61,86.95,91.07,86.65,87.18
327,86.68,83.53,87.2,85.98,85.11,86.11,86.05,86.25,87.1,86.67,87.23,85.89,86.72,86.71,86.74,90.86,86.77,84.4,84.54,86
32,87.52,87.22,87.95,87.66,87.38,86.96,87.97,86.49,87.47,86.97,87.62,86.97,87.21,86.99,86.66,85.97,87.67,87.12,86.67,90.38
693,86.47,86.31,87.82,87.25,86.73,87.45,87.03,86.77,87.75,90.79,87.56,85.91,86.42,86.8,86.83,86.63,86.93,86.37,87.37,86.79
709,86.79,86.69,86.89,87.56,86.56,87.07,87.33,86.18,86.99,86.65,87.35,86.83,91.12,86.86,86.41,86.78,87.56,86.54,87.62,87.06
723,86.18,91.12,87.13,85.94,84.84,85.97,86.71,85.36,87.1,86.41,87.58,86.01,87.24,86.46,85.47,83.57,86.4,86.15,85.78,87.49
917,86.92,86.65,87.97,87.06,87.89,86.81,87.91,86.9,91.07,87.59,87.56,87.28,86.75,87.33,86.39,86.91,87.78,86.84,87.47,87.04
979,86.8,86.65,86.61,86.9,86.3,86.49,87.06,86.62,87.06,86.95,87.17,85.64,86.75,90.58,86.07,86.61,87.64,86.34,87.49,87.02
952,86.74,83.85,87.17,86.38,85.66,86.83,86.44,86.47,87.24,86.49,87.4,85.88,87.14,87.02,87.06,90.96,86.5,84.82,84.73,86.06
